Name,Type,Episode,Aired,Premiered,Producers,Studios,Source,Genre,Demographic,Theme,Duration,Rating,Score,Ranking,Popularity,Members
Fullmetal Alchemist: Brotherhood,TV,empty,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,"Aniplex,       Square Enix,       Mainichi Broadcasting System,       Studio Moriken",Bones,Manga,empty,ShounenShounen,MilitaryMilitary,24 min. per ep.,9.15,3,"2,816,828","197,619"
Gintama°,TV,empty,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,"TV Tokyo,       Aniplex,       Dentsu",Bandai Namco Pictures,Manga,empty,ShounenShounen,empty,24 min. per ep.,9.09,335,"517,874","13,746"
Steins;Gate,TV,empty,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,"Frontier Works,       Media Factory,       Movic,       AT-X,       Kadokawa Pictures Japan,       Nitroplus",White Fox,Visual novel,empty,empty,PsychologicalPsychological,24 min. per ep.,9.09,13,"2,188,005","167,208"
Shingeki no Kyojin Season 3 Part 2,TV,empty,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Techno Sound,       Pony Canyon Enterprise",Wit Studio,Manga,empty,ShounenShounen,empty,23 min. per ep.,9.08,31,"1,760,099","49,296"
Shingeki no Kyojin: The Final Season Part 2,TV,empty,"Jan 10, 2022 to Apr 4, 2022",Winter 2022,"Production I.G,       Dentsu,       Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       Pony Canyon Enterprise",MAPPA,Manga,empty,ShounenShounen,empty,23 min. per ep.,9.08,186,"738,044","21,421"
Gintama',TV,empty,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,"TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Miracle Robo,       Studio Jack,       Shueisha",Sunrise,Manga,empty,ShounenShounen,empty,24 min. per ep.,9.06,382,"455,755","6,786"
Gintama: The Final,Movie,empty,"Jan 8, 2021",empty,"TV Tokyo,       Warner Bros. Japan",Bandai Namco Pictures,Manga,empty,ShounenShounen,empty,1 hr. 44 min.,9.05,1780,"94,186","3,276"
Hunter x Hunter (2011),TV,empty,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,"VAP,       Nippon Television Network,       Shueisha",Madhouse,Manga,empty,ShounenShounen,Super PowerSuper Power,23 min. per ep.,9.05,11,"2,295,581","176,052"
Fruits Basket: The Final,TV,empty,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,"TV Tokyo,       TV Osaka,       Nihon Ad Systems,       Hakusensha,       Avex Pictures,       TMS Music",TMS Entertainment,Manga,empty,ShoujoShoujo,empty,23 min. per ep.,9.04,566,"324,470","15,016"
Gintama': Enchousen,TV,empty,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,"TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Miracle Bus",Sunrise,Manga,empty,ShounenShounen,empty,24 min. per ep.,9.04,692,"274,212","2,696"
